,Country,Year,Age,Employment Gap in %,Employed Persons in Thousands,IndexValueEmployment
1570,Greece,2019,Y25-54,0.21,3053,0.3823529411764707
1571,Greece,2020,Y25-54,0.2,2874,0.411764705882353
1572,Greece,2021,Y25-54,0.2,3003,0.411764705882353
1573,Spain,2009,Y25-54,0.13,15376,0.6176470588235294
1574,Spain,2010,Y25-54,0.12,15174,0.6470588235294118
1575,Spain,2011,Y25-54,0.12,14955,0.6470588235294118
1576,Spain,2012,Y25-54,0.09,14335,0.7352941176470588
1577,Spain,2013,Y25-54,0.09,13944,0.7352941176470588
1578,Spain,2014,Y25-54,0.1,14067,0.7058823529411765
1579,Spain,2015,Y25-54,0.11,14320,0.6764705882352942
1580,Spain,2016,Y25-54,0.11,14571,0.6764705882352942
1581,Spain,2017,Y25-54,0.12,14786,0.6470588235294118
1582,Spain,2018,Y25-54,0.12,15032,0.6470588235294118
1583,Spain,2019,Y25-54,0.12,15214,0.6470588235294118
1584,Spain,2020,Y25-54,0.12,14609,0.6470588235294118
1585,Spain,2021,Y25-54,0.11,14882,0.6764705882352942
1586,European Union,2009,Y25-54,0.13,144612,0.6176470588235294
1587,European Union,2010,Y25-54,0.13,142384,0.6176470588235294
1588,European Union,2011,Y25-54,0.13,141766,0.6176470588235294
1589,European Union,2012,Y25-54,0.12,140353,0.6470588235294118
1590,European Union,2013,Y25-54,0.11,138928,0.6764705882352942
1591,European Union,2014,Y25-54,0.11,139372,0.6764705882352942
1592,European Union,2015,Y25-54,0.11,140177,0.6764705882352942
1593,European Union,2016,Y25-54,0.11,141394,0.6764705882352942
1594,European Union,2017,Y25-54,0.11,142342,0.6764705882352942
1595,European Union,2018,Y25-54,0.11,142856,0.6764705882352942
1596,European Union,2019,Y25-54,0.11,143235,0.6764705882352942
1597,European Union,2020,Y25-54,0.1,140007,0.7058823529411765
1598,European Union,2021,Y25-54,0.11,141258,0.6764705882352942
1599,Finland,2009,Y25-54,0.03,1718,0.911764705882353
1600,Finland,2010,Y25-54,0.05,1691,0.8529411764705883
1601,Finland,2011,Y25-54,0.06,1700,0.823529411764706
1602,Finland,2012,Y25-54,0.06,1690,0.823529411764706
1603,Finland,2013,Y25-54,0.06,1672,0.823529411764706
1604,Finland,2014,Y25-54,0.05,1661,0.8529411764705883
1605,Finland,2015,Y25-54,0.05,1646,0.8529411764705883
1606,Finland,2016,Y25-54,0.06,1647,0.823529411764706
1607,Finland,2017,Y25-54,0.05,1662,0.8529411764705883
1608,Finland,2018,Y25-54,0.06,1699,0.823529411764706
1609,Finland,2019,Y25-54,0.06,1712,0.823529411764706
1610,Finland,2020,Y25-54,0.05,1697,0.8529411764705883
1611,Finland,2021,Y25-54,0.03,1717,0.911764705882353
1612,France,2009,Y25-54,0.09,20825,0.7352941176470588
1613,France,2010,Y25-54,0.08,20762,0.7647058823529411
1614,France,2011,Y25-54,0.09,20627,0.7352941176470588
1615,France,2012,Y25-54,0.08,20466,0.7647058823529411
1616,France,2013,Y25-54,0.07,20374,0.7941176470588235
1617,France,2014,Y25-54,0.07,20301,0.7941176470588235
1618,France,2015,Y25-54,0.06,20141,0.823529411764706
1619,France,2016,Y25-54,0.07,20138,0.7941176470588235
1620,France,2017,Y25-54,0.08,20152,0.7647058823529411
1621,France,2018,Y25-54,0.07,20189,0.7941176470588235
1622,France,2019,Y25-54,0.07,20155,0.7941176470588235
1623,France,2020,Y25-54,0.07,20009,0.7941176470588235
1624,France,2021,Y25-54,0.08,20087,0.7647058823529411
1625,Croatia,2009,Y25-54,0.09,1353,0.7352941176470588
1626,Croatia,2010,Y25-54,0.07,1303,0.7941176470588235
1627,Croatia,2011,Y25-54,0.09,1255,0.7352941176470588
1628,Croatia,2012,Y25-54,0.08,1218,0.7647058823529411
1629,Croatia,2013,Y25-54,0.07,1193,0.7941176470588235
1630,Croatia,2014,Y25-54,0.06,1233,0.823529411764706
1631,Croatia,2015,Y25-54,0.06,1231,0.823529411764706
1632,Croatia,2016,Y25-54,0.08,1216,0.7647058823529411
1633,Croatia,2017,Y25-54,0.08,1241,0.7647058823529411
1634,Croatia,2018,Y25-54,0.06,1257,0.823529411764706
1635,Croatia,2019,Y25-54,0.07,1263,0.7941176470588235
1636,Croatia,2020,Y25-54,0.08,1245,0.7647058823529411
1637,Croatia,2021,Y25-54,0.08,1247,0.7647058823529411
1638,Hungary,2009,Y25-54,0.05,3213,0.8529411764705883
1639,Hungary,2010,Y25-54,0.05,3158,0.8529411764705883
1640,Hungary,2011,Y25-54,0.07,3154,0.7941176470588235
1641,Hungary,2012,Y25-54,0.05,3192,0.8529411764705883
1642,Hungary,2013,Y25-54,0.05,3225,0.8529411764705883
1643,Hungary,2014,Y25-54,0.06,3339,0.823529411764706
1644,Hungary,2015,Y25-54,0.07,3390,0.7941176470588235
1645,Hungary,2016,Y25-54,0.06,3460,0.823529411764706
1646,Hungary,2017,Y25-54,0.07,3510,0.7941176470588235
1647,Hungary,2018,Y25-54,0.06,3544,0.823529411764706
1648,Hungary,2019,Y25-54,0.07,3576,0.7941176470588235
1649,Hungary,2020,Y25-54,0.08,3533,0.7647058823529411
1650,Hungary,2021,Y25-54,0.07,3545,0.7941176470588235
1651,Ireland,2009,Y25-54,0.12,1451,0.6470588235294118
1652,Ireland,2010,Y25-54,0.1,1414,0.7058823529411765
1653,Ireland,2011,Y25-54,0.1,1399,0.7058823529411765
1654,Ireland,2012,Y25-54,0.11,1403,0.6764705882352942
1655,Ireland,2013,Y25-54,0.11,1435,0.6764705882352942
1656,Ireland,2014,Y25-54,0.12,1469,0.6470588235294118
1657,Ireland,2015,Y25-54,0.13,1504,0.6176470588235294
1658,Ireland,2016,Y25-54,0.12,1536,0.6470588235294118
1659,Ireland,2017,Y25-54,0.12,1586,0.6470588235294118
1660,Ireland,2018,Y25-54,0.13,1614,0.6176470588235294
1661,Ireland,2019,Y25-54,0.13,1646,0.6176470588235294
1662,Ireland,2020,Y25-54,0.14,1600,0.5882352941176471
1663,Ireland,2021,Y25-54,0.11,1662,0.6764705882352942
1664,Italy,2009,Y25-54,0.25,18309,0.26470588235294124
1665,Italy,2010,Y25-54,0.25,18091,0.26470588235294124
1666,Italy,2011,Y25-54,0.24,18084,0.2941176470588236
1667,Italy,2012,Y25-54,0.22,17804,0.35294117647058826
1668,Italy,2013,Y25-54,0.2,17288,0.411764705882353
1669,Italy,2014,Y25-54,0.21,17093,0.3823529411764707
1670,Italy,2015,Y25-54,0.2,17089,0.411764705882353
1671,Italy,2016,Y25-54,0.21,17131,0.3823529411764707
1672,Italy,2017,Y25-54,0.21,17100,0.3823529411764707
1673,Italy,2018,Y25-54,0.2,17026,0.411764705882353
1674,Italy,2019,Y25-54,0.21,16936,0.3823529411764707
1675,Italy,2020,Y25-54,0.21,16262,0.3823529411764707
1676,Italy,2021,Y25-54,0.2,16249,0.411764705882353
1677,Lithuania,2009,Y25-54,-0.04,1018,1.1176470588235294
1678,Lithuania,2010,Y25-54,-0.05,973,1.1470588235294117
1679,Lithuania,2011,Y25-54,-0.02,969,1.0588235294117647
1680,Lithuania,2012,Y25-54,-0.01,972,1.0294117647058825
1681,Lithuania,2013,Y25-54,0.01,971,0.9705882352941176
1682,Lithuania,2014,Y25-54,0.0,971,1.0
1683,Lithuania,2015,Y25-54,0.01,965,0.9705882352941176
1684,Lithuania,2016,Y25-54,0.0,960,1.0
1685,Lithuania,2017,Y25-54,-0.01,944,1.0294117647058825
1686,Lithuania,2018,Y25-54,0.01,948,0.9705882352941176
1687,Lithuania,2019,Y25-54,0.0,948,1.0
1688,Lithuania,2020,Y25-54,0.01,935,0.9705882352941176
1689,Lithuania,2021,Y25-54,0.01,941,0.9705882352941176
1690,Luxembourg,2009,Y25-54,0.2,180,0.411764705882353
1691,Luxembourg,2010,Y25-54,0.19,186,0.44117647058823534
1692,Luxembourg,2011,Y25-54,0.18,189,0.4705882352941177
1693,Luxembourg,2012,Y25-54,0.16,197,0.5294117647058824
1694,Luxembourg,2013,Y25-54,0.14,199,0.5882352941176471
1695,Luxembourg,2014,Y25-54,0.13,205,0.6176470588235294
1696,Luxembourg,2015,Y25-54,0.13,211,0.6176470588235294
1697,Luxembourg,2016,Y25-54,0.12,217,0.6470588235294118
1698,Luxembourg,2017,Y25-54,0.07,224,0.7941176470588235
1699,Luxembourg,2018,Y25-54,0.08,230,0.7647058823529411
1700,Luxembourg,2019,Y25-54,0.09,235,0.7352941176470588
1701,Luxembourg,2020,Y25-54,0.08,239,0.7647058823529411
1702,Luxembourg,2021,Y25-54,0.07,245,0.7941176470588235
1703,Latvia,2009,Y25-54,-0.01,659,1.0294117647058825
1704,Latvia,2010,Y25-54,-0.02,634,1.0588235294117647
1705,Latvia,2011,Y25-54,0.0,641,1.0
1706,Latvia,2012,Y25-54,0.02,644,0.9411764705882353
1707,Latvia,2013,Y25-54,0.04,652,0.8823529411764707
1708,Latvia,2014,Y25-54,0.04,642,0.8823529411764707
1709,Latvia,2015,Y25-54,0.04,642,0.8823529411764707
1710,Latvia,2016,Y25-54,0.03,636,0.911764705882353
1711,Latvia,2017,Y25-54,0.04,636,0.8823529411764707
1712,Latvia,2018,Y25-54,0.03,640,0.911764705882353
1713,Latvia,2019,Y25-54,0.04,635,0.8823529411764707
1714,Latvia,2020,Y25-54,0.04,618,0.8823529411764707
1715,Latvia,2021,Y25-54,0.05,596,0.8529411764705883
1716,Malta,2009,Y25-54,0.43,116,-0.26470588235294107
1717,Malta,2010,Y25-54,0.41,117,-0.20588235294117632
1718,Malta,2011,Y25-54,0.39,120,-0.14705882352941171
1719,Malta,2012,Y25-54,0.34,126,-0.0
1720,Malta,2013,Y25-54,0.3,131,0.11764705882352951
1721,Malta,2014,Y25-54,0.28,138,0.1764705882352941
1722,Malta,2015,Y25-54,0.28,144,0.1764705882352941
1723,Malta,2016,Y25-54,0.25,152,0.26470588235294124
1724,Malta,2017,Y25-54,0.23,163,0.3235294117647059
1725,Malta,2018,Y25-54,0.22,176,0.35294117647058826
1726,Malta,2019,Y25-54,0.2,191,0.411764705882353
1727,Malta,2020,Y25-54,0.17,198,0.5
1728,Malta,2021,Y25-54,0.15,207,0.5588235294117647
1729,Netherlands,2009,Y25-54,0.13,5878,0.6176470588235294
1730,Netherlands,2010,Y25-54,0.11,5801,0.6764705882352942
1731,Netherlands,2011,Y25-54,0.12,5739,0.6470588235294118
1732,Netherlands,2012,Y25-54,0.11,5712,0.6764705882352942
1733,Netherlands,2013,Y25-54,0.09,5617,0.7352941176470588
1734,Netherlands,2014,Y25-54,0.1,5542,0.7058823529411765
1735,Netherlands,2015,Y25-54,0.11,5533,0.6764705882352942
1736,Netherlands,2016,Y25-54,0.1,5572,0.7058823529411765
1737,Netherlands,2017,Y25-54,0.09,5611,0.7352941176470588
1738,Netherlands,2018,Y25-54,0.09,5668,0.7352941176470588
1739,Netherlands,2019,Y25-54,0.08,5702,0.7647058823529411
1740,Netherlands,2020,Y25-54,0.07,5691,0.7941176470588235
1741,Netherlands,2021,Y25-54,0.08,5748,0.7647058823529411
1742,Poland,2009,Y25-54,0.12,12281,0.6470588235294118
1743,Poland,2010,Y25-54,0.1,11848,0.7058823529411765
1744,Poland,2011,Y25-54,0.1,11866,0.7058823529411765
1745,Poland,2012,Y25-54,0.11,11855,0.6764705882352942
1746,Poland,2013,Y25-54,0.11,11769,0.6764705882352942
1747,Poland,2014,Y25-54,0.11,11920,0.6764705882352942
1748,Poland,2015,Y25-54,0.1,12078,0.7058823529411765
1749,Poland,2016,Y25-54,0.11,12146,0.6764705882352942
1750,Poland,2017,Y25-54,0.11,12298,0.6764705882352942
1751,Poland,2018,Y25-54,0.11,12397,0.6764705882352942
1752,Poland,2019,Y25-54,0.12,12420,0.6470588235294118
1753,Poland,2020,Y25-54,0.12,12453,0.6470588235294118
1754,Poland,2021,Y25-54,0.1,12767,0.7058823529411765
1755,Portugal,2009,Y25-54,0.1,3515,0.7058823529411765
1756,Portugal,2010,Y25-54,0.09,3487,0.7352941176470588
1757,Portugal,2011,Y25-54,0.08,3470,0.7647058823529411
1758,Portugal,2012,Y25-54,0.07,3327,0.7941176470588235
1759,Portugal,2013,Y25-54,0.05,3246,0.8529411764705883
1760,Portugal,2014,Y25-54,0.06,3333,0.823529411764706
1761,Portugal,2015,Y25-54,0.05,3359,0.8529411764705883
1762,Portugal,2016,Y25-54,0.05,3377,0.8529411764705883
1763,Portugal,2017,Y25-54,0.06,3442,0.823529411764706
1764,Portugal,2018,Y25-54,0.06,3480,0.823529411764706
1765,Portugal,2019,Y25-54,0.06,3485,0.823529411764706
1766,Portugal,2020,Y25-54,0.04,3429,0.8823529411764707
1767,Portugal,2021,Y25-54,0.05,3463,0.8529411764705883
1768,Romania,2009,Y25-54,0.17,6073,0.5
1769,Romania,2010,Y25-54,0.17,5917,0.5
1770,Romania,2011,Y25-54,0.16,5858,0.5294117647058824
1771,Romania,2012,Y25-54,0.16,5880,0.5294117647058824
1772,Romania,2013,Y25-54,0.16,5863,0.5294117647058824
1773,Romania,2014,Y25-54,0.16,5946,0.5294117647058824
1774,Romania,2015,Y25-54,0.16,6039,0.5294117647058824
1775,Romania,2016,Y25-54,0.16,6074,0.5294117647058824
1776,Romania,2017,Y25-54,0.16,6211,0.5294117647058824
1777,Romania,2018,Y25-54,0.17,6236,0.5
1778,Romania,2019,Y25-54,0.17,6283,0.5
1779,Romania,2020,Y25-54,0.18,6204,0.4705882352941177
1780,Romania,2021,Y25-54,0.19,6272,0.44117647058823534
1781,Sweden,2009,Y25-54,0.05,3041,0.8529411764705883
1782,Sweden,2010,Y25-54,0.07,3044,0.7941176470588235
1783,Sweden,2011,Y25-54,0.07,3104,0.7941176470588235
1784,Sweden,2012,Y25-54,0.05,3128,0.8529411764705883
1785,Sweden,2013,Y25-54,0.06,3161,0.823529411764706
1786,Sweden,2014,Y25-54,0.06,3198,0.823529411764706
1787,Sweden,2015,Y25-54,0.06,3252,0.823529411764706
1788,Sweden,2016,Y25-54,0.05,3318,0.8529411764705883
1789,Sweden,2017,Y25-54,0.05,3395,0.8529411764705883
1790,Sweden,2018,Y25-54,0.05,3451,0.8529411764705883
1791,Sweden,2019,Y25-54,0.06,3476,0.823529411764706
1792,Sweden,2020,Y25-54,0.06,3431,0.823529411764706
1793,Sweden,2021,Y25-54,0.07,3450,0.7941176470588235
1794,Slovenia,2009,Y25-54,0.03,774,0.911764705882353
1795,Slovenia,2010,Y25-54,0.03,759,0.911764705882353
1796,Slovenia,2011,Y25-54,0.03,747,0.911764705882353
1797,Slovenia,2012,Y25-54,0.05,744,0.8529411764705883
1798,Slovenia,2013,Y25-54,0.05,727,0.8529411764705883
1799,Slovenia,2014,Y25-54,0.06,726,0.823529411764706
1800,Slovenia,2015,Y25-54,0.06,728,0.823529411764706
1801,Slovenia,2016,Y25-54,0.04,726,0.8823529411764707
1802,Slovenia,2017,Y25-54,0.05,743,0.8529411764705883
1803,Slovenia,2018,Y25-54,0.05,748,0.8529411764705883
1804,Slovenia,2019,Y25-54,0.04,755,0.8823529411764707
1805,Slovenia,2020,Y25-54,0.04,749,0.8823529411764707
1806,Slovenia,2021,Y25-54,0.05,738,0.8529411764705883
1807,Slovakia,2009,Y25-54,0.08,1976,0.7647058823529411
1808,Slovakia,2010,Y25-54,0.06,1932,0.823529411764706
1809,Slovakia,2011,Y25-54,0.07,1923,0.7941176470588235
1810,Slovakia,2012,Y25-54,0.08,1918,0.7647058823529411
1811,Slovakia,2013,Y25-54,0.08,1908,0.7647058823529411
1812,Slovakia,2014,Y25-54,0.08,1926,0.7647058823529411
1813,Slovakia,2015,Y25-54,0.09,1959,0.7352941176470588
1814,Slovakia,2016,Y25-54,0.07,2007,0.7941176470588235
1815,Slovakia,2017,Y25-54,0.07,2006,0.7941176470588235
1816,Slovakia,2018,Y25-54,0.07,2035,0.7941176470588235
1817,Slovakia,2019,Y25-54,0.07,2049,0.7941176470588235
1818,Slovakia,2020,Y25-54,0.07,2003,0.7941176470588235
1819,Slovakia,2021,Y25-54,0.08,1982,0.7647058823529411
1820,Austria,2009,Y55-64,0.19,366,0.44117647058823534
1821,Austria,2010,Y55-64,0.17,389,0.5
1822,Austria,2011,Y55-64,0.16,391,0.5294117647058824
1823,Austria,2012,Y55-64,0.16,415,0.5294117647058824
1824,Austria,2013,Y55-64,0.18,442,0.4705882352941177
1825,Austria,2014,Y55-64,0.18,465,0.4705882352941177
1826,Austria,2015,Y55-64,0.15,490,0.5588235294117647
1827,Austria,2016,Y55-64,0.17,538,0.5
1828,Austria,2017,Y55-64,0.17,582,0.5
1829,Austria,2018,Y55-64,0.19,635,0.44117647058823534
1830,Austria,2019,Y55-64,0.17,663,0.5
1831,Austria,2020,Y55-64,0.16,682,0.5294117647058824
1832,Austria,2021,Y55-64,0.15,713,0.5588235294117647
1833,Belgium,2009,Y55-64,0.15,461,0.5588235294117647
1834,Belgium,2010,Y55-64,0.17,500,0.5
1835,Belgium,2011,Y55-64,0.14,526,0.5882352941176471
1836,Belgium,2012,Y55-64,0.13,541,0.6176470588235294
1837,Belgium,2013,Y55-64,0.12,578,0.6470588235294118
1838,Belgium,2014,Y55-64,0.11,599,0.6764705882352942
1839,Belgium,2015,Y55-64,0.1,628,0.7058823529411765
1840,Belgium,2016,Y55-64,0.11,658,0.6764705882352942
1841,Belgium,2017,Y55-64,0.11,704,0.6764705882352942
1842,Belgium,2018,Y55-64,0.09,745,0.7352941176470588
1843,Belgium,2019,Y55-64,0.1,783,0.7058823529411765
1844,Belgium,2020,Y55-64,0.1,809,0.7058823529411765
1845,Belgium,2021,Y55-64,0.09,837,0.7352941176470588
1846,Bulgaria,2009,Y55-64,0.15,445,0.5588235294117647
1847,Bulgaria,2010,Y55-64,0.13,469,0.6176470588235294
1848,Bulgaria,2011,Y55-64,0.11,467,0.6764705882352942
1849,Bulgaria,2012,Y55-64,0.09,472,0.7352941176470588
1850,Bulgaria,2013,Y55-64,0.08,485,0.7647058823529411
1851,Bulgaria,2014,Y55-64,0.09,504,0.7352941176470588
1852,Bulgaria,2015,Y55-64,0.07,523,0.7941176470588235
1853,Bulgaria,2016,Y55-64,0.07,529,0.7941176470588235
1854,Bulgaria,2017,Y55-64,0.08,561,0.7647058823529411
1855,Bulgaria,2018,Y55-64,0.09,578,0.7352941176470588
1856,Bulgaria,2019,Y55-64,0.09,606,0.7352941176470588
1857,Bulgaria,2020,Y55-64,0.09,597,0.7352941176470588
1858,Bulgaria,2021,Y55-64,0.1,599,0.7058823529411765
1859,Cyprus,2009,Y55-64,0.3,49,0.11764705882352951
1860,Cyprus,2010,Y55-64,0.28,52,0.1764705882352941
1861,Cyprus,2011,Y55-64,0.28,52,0.1764705882352941
1862,Cyprus,2012,Y55-64,0.26,48,0.23529411764705885
1863,Cyprus,2013,Y55-64,0.23,47,0.3235294117647059
1864,Cyprus,2014,Y55-64,0.2,44,0.411764705882353
1865,Cyprus,2015,Y55-64,0.18,47,0.4705882352941177
1866,Cyprus,2016,Y55-64,0.17,51,0.5
1867,Cyprus,2017,Y55-64,0.19,55,0.44117647058823534
1868,Cyprus,2018,Y55-64,0.18,62,0.4705882352941177
1869,Cyprus,2019,Y55-64,0.21,63,0.3823529411764707
1870,Cyprus,2020,Y55-64,0.24,64,0.2941176470588236
1871,Cyprus,2021,Y55-64,0.23,67,0.3235294117647059
1872,Czech Republic,2009,Y55-64,0.25,692,0.26470588235294124
1873,Czech Republic,2010,Y55-64,0.22,693,0.35294117647058826
1874,Czech Republic,2011,Y55-64,0.22,713,0.35294117647058826
1875,Czech Republic,2012,Y55-64,0.21,729,0.3823529411764707
1876,Czech Republic,2013,Y55-64,0.21,750,0.3823529411764707
1877,Czech Republic,2014,Y55-64,0.21,768,0.3823529411764707
1878,Czech Republic,2015,Y55-64,0.2,771,0.411764705882353
1879,Czech Republic,2016,Y55-64,0.19,795,0.44117647058823534
1880,Czech Republic,2017,Y55-64,0.19,826,0.44117647058823534
1881,Czech Republic,2018,Y55-64,0.17,854,0.5
1882,Czech Republic,2019,Y55-64,0.16,871,0.5294117647058824
1883,Czech Republic,2020,Y55-64,0.14,888,0.5882352941176471
1884,Czech Republic,2021,Y55-64,0.13,900,0.6176470588235294
1885,Germany,2009,Y55-64,0.15,5394,0.5588235294117647
1886,Germany,2010,Y55-64,0.14,5559,0.5882352941176471
1887,Germany,2011,Y55-64,0.14,5954,0.5882352941176471
1888,Germany,2012,Y55-64,0.14,6283,0.5882352941176471
1889,Germany,2013,Y55-64,0.12,6660,0.6470588235294118
1890,Germany,2014,Y55-64,0.11,6986,0.6764705882352942
1891,Germany,2015,Y55-64,0.1,7225,0.7058823529411765
1892,Germany,2016,Y55-64,0.1,7673,0.7058823529411765
1893,Germany,2017,Y55-64,0.1,7998,0.7058823529411765
1894,Germany,2018,Y55-64,0.09,8408,0.7352941176470588
1895,Germany,2019,Y55-64,0.09,8785,0.7352941176470588
1896,Germany,2020,Y55-64,0.07,8907,0.7941176470588235
1897,Germany,2021,Y55-64,0.08,9211,0.7647058823529411
1898,Denmark,2009,Y55-64,0.13,397,0.6176470588235294
1899,Denmark,2010,Y55-64,0.1,400,0.7058823529411765
1900,Denmark,2011,Y55-64,0.1,402,0.7058823529411765
1901,Denmark,2012,Y55-64,0.1,405,0.7058823529411765
1902,Denmark,2013,Y55-64,0.1,408,0.7058823529411765
1903,Denmark,2014,Y55-64,0.11,421,0.6764705882352942
1904,Denmark,2015,Y55-64,0.1,437,0.7058823529411765
1905,Denmark,2016,Y55-64,0.08,460,0.7647058823529411
1906,Denmark,2017,Y55-64,0.08,481,0.7647058823529411
1907,Denmark,2018,Y55-64,0.09,493,0.7352941176470588
1908,Denmark,2019,Y55-64,0.09,518,0.7352941176470588
1909,Denmark,2020,Y55-64,0.09,529,0.7352941176470588
1910,Denmark,2021,Y55-64,0.08,545,0.7647058823529411
1911,Estonia,2009,Y55-64,-0.02,95,1.0588235294117647
1912,Estonia,2010,Y55-64,-0.03,87,1.088235294117647
1913,Estonia,2011,Y55-64,-0.01,96,1.0294117647058825
1914,Estonia,2012,Y55-64,-0.03,102,1.088235294117647
1915,Estonia,2013,Y55-64,-0.03,107,1.088235294117647
1916,Estonia,2014,Y55-64,0.02,109,0.9411764705882353
1917,Estonia,2015,Y55-64,-0.02,109,1.0588235294117647
1918,Estonia,2016,Y55-64,-0.02,111,1.0588235294117647
1919,Estonia,2017,Y55-64,-0.03,116,1.088235294117647
1920,Estonia,2018,Y55-64,-0.05,118,1.1470588235294117
1921,Estonia,2019,Y55-64,-0.05,124,1.1470588235294117
1922,Estonia,2020,Y55-64,-0.06,123,1.1764705882352942
1923,Estonia,2021,Y55-64,-0.03,122,1.088235294117647
1924,Greece,2009,Y55-64,0.3,546,0.11764705882352951
1925,Greece,2010,Y55-64,0.28,549,0.1764705882352941
1926,Greece,2011,Y55-64,0.25,515,0.26470588235294124
1927,Greece,2012,Y55-64,0.22,476,0.35294117647058826
1928,Greece,2013,Y55-64,0.2,467,0.411764705882353
1929,Greece,2014,Y55-64,0.19,452,0.44117647058823534
1930,Greece,2015,Y55-64,0.21,461,0.3823529411764707
1931,Greece,2016,Y55-64,0.19,490,0.44117647058823534
1932,Greece,2017,Y55-64,0.22,521,0.35294117647058826
1933,Greece,2018,Y55-64,0.23,563,0.3235294117647059
1934,Greece,2019,Y55-64,0.25,597,0.26470588235294124
1935,Greece,2020,Y55-64,0.23,596,0.3235294117647059
1936,Greece,2021,Y55-64,0.24,681,0.2941176470588236
1937,Spain,2009,Y55-64,0.24,2185,0.2941176470588236
1938,Spain,2010,Y55-64,0.22,2190,0.35294117647058826
1939,Spain,2011,Y55-64,0.18,2274,0.4705882352941177
1940,Spain,2012,Y55-64,0.16,2289,0.5294117647058824
1941,Spain,2013,Y55-64,0.14,2295,0.5882352941176471
1942,Spain,2014,Y55-64,0.13,2395,0.6176470588235294
1943,Spain,2015,Y55-64,0.14,2595,0.5882352941176471
1944,Spain,2016,Y55-64,0.13,2791,0.6176470588235294
1945,Spain,2017,Y55-64,0.14,2942,0.5882352941176471
1946,Spain,2018,Y55-64,0.15,3115,0.5588235294117647
1947,Spain,2019,Y55-64,0.14,3315,0.5882352941176471
1948,Spain,2020,Y55-64,0.14,3465,0.5882352941176471
1949,Spain,2021,Y55-64,0.13,3616,0.6176470588235294
1950,European Union,2009,Y55-64,0.17,23012,0.5
1951,European Union,2010,Y55-64,0.16,23779,0.5294117647058824
1952,European Union,2011,Y55-64,0.14,24947,0.5882352941176471
1953,European Union,2012,Y55-64,0.14,26046,0.5882352941176471
1954,European Union,2013,Y55-64,0.14,27098,0.5882352941176471
1955,European Union,2014,Y55-64,0.13,28313,0.6176470588235294
1956,European Union,2015,Y55-64,0.13,29509,0.6176470588235294
1957,European Union,2016,Y55-64,0.13,30956,0.6176470588235294
1958,European Union,2017,Y55-64,0.13,32359,0.6176470588235294
1959,European Union,2018,Y55-64,0.13,33710,0.6176470588235294
1960,European Union,2019,Y55-64,0.13,34886,0.6176470588235294
1961,European Union,2020,Y55-64,0.12,35517,0.6470588235294118
1962,European Union,2021,Y55-64,0.13,36633,0.6176470588235294
1963,Finland,2009,Y55-64,-0.02,426,1.0588235294117647
1964,Finland,2010,Y55-64,-0.01,438,1.0294117647058825
1965,Finland,2011,Y55-64,0.0,439,1.0
1966,Finland,2012,Y55-64,-0.03,444,1.088235294117647
1967,Finland,2013,Y55-64,-0.04,441,1.1176470588235294
1968,Finland,2014,Y55-64,-0.05,439,1.1470588235294117
1969,Finland,2015,Y55-64,-0.05,439,1.1470588235294117
1970,Finland,2016,Y55-64,-0.03,448,1.088235294117647
1971,Finland,2017,Y55-64,-0.01,454,1.0294117647058825
1972,Finland,2018,Y55-64,-0.02,472,1.0588235294117647
1973,Finland,2019,Y55-64,-0.04,481,1.1176470588235294
1974,Finland,2020,Y55-64,-0.01,485,1.0294117647058825
1975,Finland,2021,Y55-64,-0.01,494,1.0294117647058825
1976,France,2009,Y55-64,0.04,3164,0.8823529411764707
1977,France,2010,Y55-64,0.04,3314,0.8823529411764707
1978,France,2011,Y55-64,0.04,3493,0.8823529411764707
1979,France,2012,Y55-64,0.04,3755,0.8823529411764707
1980,France,2013,Y55-64,0.04,3843,0.8823529411764707
1981,France,2014,Y55-64,0.02,3955,0.9411764705882353
1982,France,2015,Y55-64,0.02,4109,0.9411764705882353
1983,France,2016,Y55-64,0.02,4205,0.9411764705882353
1984,France,2017,Y55-64,0.01,4337,0.9705882352941176
1985,France,2018,Y55-64,0.02,4439,0.9411764705882353
1986,France,2019,Y55-64,0.03,4544,0.911764705882353
1987,France,2020,Y55-64,0.03,4631,0.911764705882353
1988,France,2021,Y55-64,0.04,4722,0.8823529411764707
1989,Croatia,2009,Y55-64,0.2,215,0.411764705882353
1990,Croatia,2010,Y55-64,0.22,223,0.35294117647058826
1991,Croatia,2011,Y55-64,0.22,225,0.35294117647058826
1992,Croatia,2012,Y55-64,0.2,223,0.411764705882353
1993,Croatia,2013,Y55-64,0.14,226,0.5882352941176471
1994,Croatia,2014,Y55-64,0.19,219,0.44117647058823534
1995,Croatia,2015,Y55-64,0.17,236,0.5
1996,Croatia,2016,Y55-64,0.13,229,0.6176470588235294
1997,Croatia,2017,Y55-64,0.17,242,0.5
1998,Croatia,2018,Y55-64,0.16,257,0.5294117647058824
1999,Croatia,2019,Y55-64,0.17,263,0.5
2000,Croatia,2020,Y55-64,0.15,272,0.5588235294117647
2001,Croatia,2021,Y55-64,0.12,291,0.6470588235294118
2002,Hungary,2009,Y55-64,0.13,425,0.6176470588235294
2003,Hungary,2010,Y55-64,0.1,460,0.7058823529411765
2004,Hungary,2011,Y55-64,0.07,496,0.7941176470588235
2005,Hungary,2012,Y55-64,0.09,513,0.7352941176470588
